Month,Year,Region,Dengue_Cases
Feb,2012,Region.II,16.145509
Mar,2012,Region.II,57.648228
Apr,2012,Region.II,4.380564
May,2012,Region.II,30.363569
Jun,2012,Region.II,3.804833
Jul,2012,Region.II,3.929992
Aug,2012,Region.II,12.11539
Sep,2012,Region.II,16.821367
Oct,2012,Region.II,35.745406
Nov,2012,Region.II,35.520119
Dec,2012,Region.II,78.599841
Jan,2013,Region.II,7.435678
Feb,2013,Region.II,57.712682
Mar,2013,Region.II,9.036073
Apr,2013,Region.II,4.333375
May,2013,Region.II,9.553123
Jun,2013,Region.II,36.858313
Jul,2013,Region.II,43.309133
Aug,2013,Region.II,42.398139
Sep,2013,Region.II,72.928739
Oct,2013,Region.II,13.664905
Nov,2013,Region.II,85.855001
Dec,2013,Region.II,21.346798
Jan,2014,Region.II,3.851407
Feb,2014,Region.II,6.176785
Mar,2014,Region.II,43.89151
Apr,2014,Region.II,34.78378
May,2014,Region.II,25.361154
Jun,2014,Region.II,56.0513
Jul,2014,Region.II,14.703172
Aug,2014,Region.II,55.009724
Sep,2014,Region.II,11.869117
Oct,2014,Region.II,3.681849
Nov,2014,Region.II,4.77187
Dec,2014,Region.II,20.27439
Jan,2015,Region.II,24.076689
Feb,2015,Region.II,19.404381
Mar,2015,Region.II,36.901697
Apr,2015,Region.II,14.016924
May,2015,Region.II,44.100866
Jun,2015,Region.II,6.007253
Jul,2015,Region.II,2.979788
Aug,2015,Region.II,3.027465
Sep,2015,Region.II,10.369663
Oct,2015,Region.II,21.192254
Nov,2015,Region.II,15.280354
Dec,2015,Region.II,16.114695
Jan,2016,Region.II,12.133091
Feb,2016,Region.II,22.177507
Mar,2016,Region.II,4.036541
Apr,2016,Region.II,0.586707
May,2016,Region.II,1.267286
Jun,2016,Region.II,5.256891
Jul,2016,Region.II,9.974011
Aug,2016,Region.II,4.928335
Sep,2016,Region.II,7.69759
Oct,2016,Region.II,8.190423
Nov,2016,Region.II,2.792723
Dec,2016,Region.II,1.149945
Jan,2008,Region.III,5.836376
Feb,2008,Region.III,2.581158
Mar,2008,Region.III,2.811325
Apr,2008,Region.III,16.054144
May,2008,Region.III,20.599942
Jun,2008,Region.III,7.759914
Jul,2008,Region.III,12.478337
Aug,2008,Region.III,10.521918
Sep,2008,Region.III,17.640652
Oct,2008,Region.III,3.96216
Nov,2008,Region.III,0.830245
Dec,2008,Region.III,1.578288
Jan,2009,Region.III,9.529202
Feb,2009,Region.III,12.295744
Mar,2009,Region.III,5.70296
Apr,2009,Region.III,4.238796
May,2009,Region.III,8.129752
Jun,2009,Region.III,14.180552
Jul,2009,Region.III,2.224559
Aug,2009,Region.III,0.444912
Sep,2009,Region.III,1.04352
Oct,2009,Region.III,7.037696
Nov,2009,Region.III,8.137841
Dec,2009,Region.III,3.858599
Jan,2010,Region.III,2.284333
Feb,2010,Region.III,5.85808
Mar,2010,Region.III,7.298722
Apr,2010,Region.III,1.727179
May,2010,Region.III,0.596951
Jun,2010,Region.III,0.85961
Jul,2010,Region.III,4.218454
Aug,2010,Region.III,5.332763
Sep,2010,Region.III,3.072308
Oct,2010,Region.III,1.520235
Nov,2010,Region.III,4.130902
Dec,2010,Region.III,4.250292
Jan,2011,Region.III,1.941779
Feb,2011,Region.III,0.939571
Mar,2011,Region.III,0.767316
Apr,2011,Region.III,3.609517
May,2011,Region.III,5.40253
Jun,2011,Region.III,3.648665
Jul,2011,Region.III,1.518972
Aug,2011,Region.III,3.664325
Sep,2011,Region.III,2.341097
Oct,2011,Region.III,5.488658
Nov,2011,Region.III,2.505521
Dec,2011,Region.III,1.315399
Jan,2012,Region.III,8.240433
Feb,2012,Region.III,12.99986
Mar,2012,Region.III,9.71909
Apr,2012,Region.III,2.849495
May,2012,Region.III,6.315098
Jun,2012,Region.III,3.519512
Jul,2012,Region.III,9.557362
Aug,2012,Region.III,2.926509
Sep,2012,Region.III,6.715568
Oct,2012,Region.III,26.153747
Nov,2012,Region.III,37.605638
Dec,2012,Region.III,21.894907
Jan,2013,Region.III,6.090374
Feb,2013,Region.III,22.952528
Mar,2013,Region.III,12.248924
Apr,2013,Region.III,9.082535
May,2013,Region.III,3.007311
Jun,2013,Region.III,18.793803
Jul,2013,Region.III,56.707138
Aug,2013,Region.III,39.18595
Sep,2013,Region.III,23.10403
Oct,2013,Region.III,12.604953
Nov,2013,Region.III,44.829394
Dec,2013,Region.III,25.11143
Jan,2014,Region.III,6.491048
Feb,2014,Region.III,2.585986
Mar,2014,Region.III,19.137785
Apr,2014,Region.III,35.287154
May,2014,Region.III,27.670792
Jun,2014,Region.III,24.466257
Jul,2014,Region.III,16.194083
Aug,2014,Region.III,51.734619
Sep,2014,Region.III,24.898496
Oct,2014,Region.III,4.501255
Nov,2014,Region.III,2.399675
Dec,2014,Region.III,9.785012
Jan,2015,Region.III,17.330592
Feb,2015,Region.III,22.053783
Mar,2015,Region.III,19.772863
Apr,2015,Region.III,18.408711
May,2015,Region.III,54.199353
Jun,2015,Region.III,19.934214
Jul,2015,Region.III,2.207579
Aug,2015,Region.III,2.398266
Sep,2015,Region.III,9.160351
Oct,2015,Region.III,10.898544
Nov,2015,Region.III,16.626513
Dec,2015,Region.III,18.284031
Jan,2016,Region.III,19.891922
Feb,2016,Region.III,41.690003
Mar,2016,Region.III,16.657229
Apr,2016,Region.III,2.231072
May,2016,Region.III,1.256332
Jun,2016,Region.III,8.592155
Jul,2016,Region.III,9.747403
Aug,2016,Region.III,8.931509
Sep,2016,Region.III,14.5128
Oct,2016,Region.III,10.693262
Nov,2016,Region.III,22.852245
Dec,2016,Region.III,14.317852
Jan,2008,Region.IV.A,5.815181
Feb,2008,Region.IV.A,2.155903
Mar,2008,Region.IV.A,5.07309
Apr,2008,Region.IV.A,12.302083
May,2008,Region.IV.A,8.885904
Jun,2008,Region.IV.A,10.293319
Jul,2008,Region.IV.A,8.163005
Aug,2008,Region.IV.A,12.353262
Sep,2008,Region.IV.A,19.652626
Oct,2008,Region.IV.A,3.339411
Nov,2008,Region.IV.A,2.040751
Dec,2008,Region.IV.A,3.428974
Jan,2009,Region.IV.A,6.817955
Feb,2009,Region.IV.A,6.723524
Mar,2009,Region.IV.A,7.711907
Apr,2009,Region.IV.A,3.519148
May,2009,Region.IV.A,8.933221
Jun,2009,Region.IV.A,13.088208
Jul,2009,Region.IV.A,2.215993
Aug,2009,Region.IV.A,2.052312
Sep,2009,Region.IV.A,3.04699
Oct,2009,Region.IV.A,4.847484
Nov,2009,Region.IV.A,5.5148
Dec,2009,Region.IV.A,5.835867
Jan,2010,Region.IV.A,2.434358
Feb,2010,Region.IV.A,5.915553
Mar,2010,Region.IV.A,8.70918
Apr,2010,Region.IV.A,1.375134
May,2010,Region.IV.A,1.573351
Jun,2010,Region.IV.A,2.050312
Jul,2010,Region.IV.A,2.620187
Aug,2010,Region.IV.A,4.874911
Sep,2010,Region.IV.A,5.45098
Oct,2010,Region.IV.A,1.548574
Nov,2010,Region.IV.A,3.846658
Dec,2010,Region.IV.A,5.14746
Jan,2011,Region.IV.A,0.95667
Feb,2011,Region.IV.A,1.596481
Mar,2011,Region.IV.A,3.308738
Apr,2011,Region.IV.A,2.157078
May,2011,Region.IV.A,6.62357
Jun,2011,Region.IV.A,6.763719
Jul,2011,Region.IV.A,1.730537
Aug,2011,Region.IV.A,3.448887
Sep,2011,Region.IV.A,3.863241
Oct,2011,Region.IV.A,1.578201
Nov,2011,Region.IV.A,5.008808
Dec,2011,Region.IV.A,4.308062
Jan,2012,Region.IV.A,4.62099
Feb,2012,Region.IV.A,14.246555
Mar,2012,Region.IV.A,17.548975
Apr,2012,Region.IV.A,2.24157
May,2012,Region.IV.A,5.777736
Jun,2012,Region.IV.A,5.430113
Jul,2012,Region.IV.A,1.857986
Aug,2012,Region.IV.A,7.389989
Sep,2012,Region.IV.A,15.073659
Oct,2012,Region.IV.A,12.028959
Nov,2012,Region.IV.A,27.588092
Dec,2012,Region.IV.A,34.450652
Jan,2013,Region.IV.A,5.028649
Feb,2013,Region.IV.A,14.41389
Mar,2013,Region.IV.A,12.645314
Apr,2013,Region.IV.A,3.207017
May,2013,Region.IV.A,6.496567
Jun,2013,Region.IV.A,36.397282
Jul,2013,Region.IV.A,24.960494
Aug,2013,Region.IV.A,31.669291
Sep,2013,Region.IV.A,31.280204
Oct,2013,Region.IV.A,12.668895
Nov,2013,Region.IV.A,25.591286
Dec,2013,Region.IV.A,21.56483
Jan,2014,Region.IV.A,1.832729
Feb,2014,Region.IV.A,5.596782
Mar,2014,Region.IV.A,36.202192
Apr,2014,Region.IV.A,15.16641
May,2014,Region.IV.A,29.074269
Jun,2014,Region.IV.A,22.938108
Jul,2014,Region.IV.A,14.110851
Aug,2014,Region.IV.A,37.048959
Sep,2014,Region.IV.A,20.345609
Oct,2014,Region.IV.A,1.357147
Nov,2014,Region.IV.A,4.558623
Dec,2014,Region.IV.A,19.951224
Jan,2015,Region.IV.A,8.76138
Feb,2015,Region.IV.A,20.998772
Mar,2015,Region.IV.A,16.489658
Apr,2015,Region.IV.A,16.238518
May,2015,Region.IV.A,48.116241
Jun,2015,Region.IV.A,15.713406
Jul,2015,Region.IV.A,1.369857
Aug,2015,Region.IV.A,3.184918
Sep,2015,Region.IV.A,10.422332
Oct,2015,Region.IV.A,6.655224
Nov,2015,Region.IV.A,13.436018
Dec,2015,Region.IV.A,13.082138
Jan,2016,Region.IV.A,14.45242
Feb,2016,Region.IV.A,32.186415
Mar,2016,Region.IV.A,11.97438
Apr,2016,Region.IV.A,0.65182
May,2016,Region.IV.A,1.410403
Jun,2016,Region.IV.A,7.080112
Jul,2016,Region.IV.A,3.854728
Aug,2016,Region.IV.A,6.956491
Sep,2016,Region.IV.A,7.585835
Oct,2016,Region.IV.A,6.310291
Nov,2016,Region.IV.A,12.614962
Dec,2016,Region.IV.A,8.237654
Jan,2008,Region.IV.B,1.213633
Feb,2008,Region.IV.B,0.24895
Mar,2008,Region.IV.B,1.213633
Apr,2008,Region.IV.B,3.454186
May,2008,Region.IV.B,2.427266
Jun,2008,Region.IV.B,7.592986
Jul,2008,Region.IV.B,7.904174
Aug,2008,Region.IV.B,3.329711
Sep,2008,Region.IV.B,6.97061
Oct,2008,Region.IV.B,1.089158
Nov,2008,Region.IV.B,0.093356
Dec,2008,Region.IV.B,1.306989
Jan,2009,Region.IV.B,3.491033
Feb,2009,Region.IV.B,1.653647
Mar,2009,Region.IV.B,7.502659
Apr,2009,Region.IV.B,5.573404
May,2009,Region.IV.B,3.85851
Jun,2009,Region.IV.B,6.43085
Jul,2009,Region.IV.B,0.367477
Aug,2009,Region.IV.B,0.183739
Sep,2009,Region.IV.B,1.194301
Oct,2009,Region.IV.B,1.68427
Nov,2009,Region.IV.B,2.051748
Dec,2009,Region.IV.B,6.216489
Jan,2010,Region.IV.B,2.741933
Feb,2010,Region.IV.B,3.495211
Mar,2010,Region.IV.B,7.562913
Apr,2010,Region.IV.B,0.180787
May,2010,Region.IV.B,0.120525
Jun,2010,Region.IV.B,0.994327
Jul,2010,Region.IV.B,1.386032
Aug,2010,Region.IV.B,1.898261
Sep,2010,Region.IV.B,4.308751
Oct,2010,Region.IV.B,2.922719
Nov,2010,Region.IV.B,2.048917
Dec,2010,Region.IV.B,5.935832
Jan,2011,Region.IV.B,0.889216
Feb,2011,Region.IV.B,0.296405
Mar,2011,Region.IV.B,1.570948
Apr,2011,Region.IV.B,1.185621
May,2011,Region.IV.B,2.104478
Jun,2011,Region.IV.B,10.848433
Jul,2011,Region.IV.B,3.764347
Aug,2011,Region.IV.B,3.290099
Sep,2011,Region.IV.B,5.157452
Oct,2011,Region.IV.B,0.800294
Nov,2011,Region.IV.B,0.53353
Dec,2011,Region.IV.B,2.934412
Jan,2012,Region.IV.B,3.323602
Feb,2012,Region.IV.B,4.63555
Mar,2012,Region.IV.B,28.046533
Apr,2012,Region.IV.B,4.664704
May,2012,Region.IV.B,7.696762
Jun,2012,Region.IV.B,8.892092
Jul,2012,Region.IV.B,1.253639
Aug,2012,Region.IV.B,0.874632
Sep,2012,Region.IV.B,10.524738
Oct,2012,Region.IV.B,10.233194
Nov,2012,Region.IV.B,8.979555
Dec,2012,Region.IV.B,34.314729
Jan,2013,Region.IV.B,7.169119
Feb,2013,Region.IV.B,17.320591
Mar,2013,Region.IV.B,19.729415
Apr,2013,Region.IV.B,0.745588
May,2013,Region.IV.B,0.630882
Jun,2013,Region.IV.B,29.536769
Jul,2013,Region.IV.B,9.778678
Aug,2013,Region.IV.B,11.585296
Sep,2013,Region.IV.B,25.579415
Oct,2013,Region.IV.B,14.166178
Nov,2013,Region.IV.B,21.134562
Dec,2013,Region.IV.B,24.977209
Jan,2014,Region.IV.B,0.677089
Feb,2014,Region.IV.B,1.10027
Mar,2014,Region.IV.B,10.269182
Apr,2014,Region.IV.B,6.319497
May,2014,Region.IV.B,11.820845
Jun,2014,Region.IV.B,13.541779
Jul,2014,Region.IV.B,8.463612
Aug,2014,Region.IV.B,20.566577
Sep,2014,Region.IV.B,13.118598
Oct,2014,Region.IV.B,0.28212
Nov,2014,Region.IV.B,0.366757
Dec,2014,Region.IV.B,3.0469
Jan,2015,Region.IV.B,2.915257
Feb,2015,Region.IV.B,9.384351
Mar,2015,Region.IV.B,5.9971
Apr,2015,Region.IV.B,7.662961
May,2015,Region.IV.B,11.438912
Jun,2015,Region.IV.B,8.495891
Jul,2015,Region.IV.B,0.388701
Aug,2015,Region.IV.B,0.388701
Sep,2015,Region.IV.B,1.360453
Oct,2015,Region.IV.B,1.749154
Nov,2015,Region.IV.B,7.440846
Dec,2015,Region.IV.B,3.692659
Jan,2016,Region.IV.B,6.478006
Feb,2016,Region.IV.B,6.204673
Mar,2016,Region.IV.B,6.314006
Apr,2016,Region.IV.B,0.191334
May,2016,Region.IV.B,0.109333
Jun,2016,Region.IV.B,0.683334
Jul,2016,Region.IV.B,0.437334
Aug,2016,Region.IV.B,3.198003
Sep,2016,Region.IV.B,1.284668
Oct,2016,Region.IV.B,3.362003
Nov,2016,Region.IV.B,3.58067
Dec,2016,Region.IV.B,4.045337
Jan,2008,Region.V,3.404328
Feb,2008,Region.V,1.498921
Mar,2008,Region.V,2.845408
Apr,2008,Region.V,3.074057
May,2008,Region.V,4.268113
Jun,2008,Region.V,6.554602
Jul,2008,Region.V,2.311894
Aug,2008,Region.V,3.048652
Sep,2008,Region.V,6.122709
Oct,2008,Region.V,2.972436
Nov,2008,Region.V,1.422704
Dec,2008,Region.V,2.261084
Jan,2009,Region.V,1.950058
Feb,2009,Region.V,2.950087
Mar,2009,Region.V,4.975147
Apr,2009,Region.V,1.300038
May,2009,Region.V,2.175064
Jun,2009,Region.V,4.050119
Jul,2009,Region.V,1.200035
Aug,2009,Region.V,1.050031
Sep,2009,Region.V,1.800053
Oct,2009,Region.V,1.02503
Nov,2009,Region.V,4.150122
Dec,2009,Region.V,4.650137
Jan,2010,Region.V,0.983964
Feb,2010,Region.V,1.475946
Mar,2010,Region.V,3.099486
Apr,2010,Region.V,1.598941
May,2010,Region.V,0.762572
Jun,2010,Region.V,1.402148
Jul,2010,Region.V,1.106959
Aug,2010,Region.V,3.247081
Sep,2010,Region.V,2.509108
Oct,2010,Region.V,1.279153
Nov,2010,Region.V,1.106959
Dec,2010,Region.V,2.533707
Jan,2011,Region.V,0.895347
Feb,2011,Region.V,2.323063
Mar,2011,Region.V,2.20207
Apr,2011,Region.V,1.548709
May,2011,Region.V,6.340026
Jun,2011,Region.V,3.968566
Jul,2011,Region.V,1.572907
Aug,2011,Region.V,1.621304
Sep,2011,Region.V,2.081077
Oct,2011,Region.V,0.895347
Nov,2011,Region.V,3.436197
Dec,2011,Region.V,3.702382
Jan,2012,Region.V,2.713393
Feb,2012,Region.V,11.020183
Mar,2012,Region.V,6.950094
Apr,2012,Region.V,1.451903
May,2012,Region.V,2.380169
Jun,2012,Region.V,3.09422
Jul,2012,Region.V,1.11868
Aug,2012,Region.V,3.665461
Sep,2012,Region.V,9.044643
Oct,2012,Region.V,4.403313
Nov,2012,Region.V,13.352749
Dec,2012,Region.V,12.257871
Jan,2013,Region.V,3.628785
Feb,2013,Region.V,5.080299
Mar,2013,Region.V,5.24418
Apr,2013,Region.V,1.24081
May,2013,Region.V,4.050192
Jun,2013,Region.V,20.883073
Jul,2013,Region.V,7.398039
Aug,2013,Region.V,11.448232
Sep,2013,Region.V,11.658935
Oct,2013,Region.V,11.401409
Nov,2013,Region.V,8.498381
Dec,2013,Region.V,9.458253
Jan,2014,Region.V,0.7831
Feb,2014,Region.V,3.316659
Mar,2014,Region.V,20.406664
Apr,2014,Region.V,5.87325
May,2014,Region.V,8.982617
Jun,2014,Region.V,6.587253
Jul,2014,Region.V,10.1803
Aug,2014,Region.V,6.402994
Sep,2014,Region.V,8.752294
Oct,2014,Region.V,0.621874
Nov,2014,Region.V,2.763882
Dec,2014,Region.V,7.278223
Jan,2015,Region.V,4.238702
Feb,2015,Region.V,8.477404
Mar,2015,Region.V,5.032042
Apr,2015,Region.V,9.089409
May,2015,Region.V,6.029383
Jun,2015,Region.V,6.05205
Jul,2015,Region.V,0.589338
Aug,2015,Region.V,2.312019
Sep,2015,Region.V,3.876032
Oct,2015,Region.V,3.762698
Nov,2015,Region.V,7.185393
Dec,2015,Region.V,3.649364
Jan,2016,Region.V,7.743303
Feb,2016,Region.V,5.377913
Mar,2016,Region.V,6.002733
Apr,2016,Region.V,0.557875
May,2016,Region.V,2.097609
Jun,2016,Region.V,2.410019
Jul,2016,Region.V,3.191044
Aug,2016,Region.V,7.520153
Sep,2016,Region.V,2.008349
Oct,2016,Region.V,3.034839
Nov,2016,Region.V,3.793549
Dec,2016,Region.V,4.061329
Jan,2008,Region.VI,4.342776
Feb,2008,Region.VI,2.227064
Mar,2008,Region.VI,6.935715
Apr,2008,Region.VI,4.931357
May,2008,Region.VI,3.197428
Jun,2008,Region.VI,15.668989
Jul,2008,Region.VI,7.30159
Aug,2008,Region.VI,5.169971
Sep,2008,Region.VI,15.716712
Oct,2008,Region.VI,3.308782
Nov,2008,Region.VI,1.511222
Dec,2008,Region.VI,6.140335
Jan,2009,Region.VI,3.53785
Feb,2009,Region.VI,3.929205
Mar,2009,Region.VI,14.323597
Apr,2009,Region.VI,5.056308
May,2009,Region.VI,4.273598
Jun,2009,Region.VI,11.051869
Jul,2009,Region.VI,2.019392
Aug,2009,Region.VI,2.833411
Sep,2009,Region.VI,5.181542
Oct,2009,Region.VI,3.35
Nov,2009,Region.VI,4.61799
Dec,2009,Region.VI,14.448831
Jan,2010,Region.VI,4.220344
Feb,2010,Region.VI,3.773666
Mar,2010,Region.VI,10.212001
Apr,2010,Region.VI,2.233394
May,2010,Region.VI,2.680073
Jun,2010,Region.VI,4.020109
Jul,2010,Region.VI,2.387421
Aug,2010,Region.VI,6.00706
Sep,2010,Region.VI,13.862445
Oct,2010,Region.VI,3.311584
Nov,2010,Region.VI,3.311584
Dec,2010,Region.VI,9.210825
Jan,2011,Region.VI,1.893991
Feb,2011,Region.VI,5.924404
Mar,2011,Region.VI,8.045674
Apr,2011,Region.VI,2.894018
May,2011,Region.VI,10.697261
Jun,2011,Region.VI,25.318872
Jul,2011,Region.VI,5.197111
Aug,2011,Region.VI,3.681919
Sep,2011,Region.VI,10.818477
Oct,2011,Region.VI,4.272844
Nov,2011,Region.VI,12.409429
Dec,2011,Region.VI,17.788364
Jan,2012,Region.VI,4.009021
Feb,2012,Region.VI,25.156978
Mar,2012,Region.VI,69.44995
Apr,2012,Region.VI,11.878028
May,2012,Region.VI,6.393568
Jun,2012,Region.VI,21.460929
Jul,2012,Region.VI,5.48446
Aug,2012,Region.VI,18.226886
Sep,2012,Region.VI,76.156491
Oct,2012,Region.VI,5.976273
Nov,2012,Region.VI,35.783118
Dec,2012,Region.VI,90.851266
Jan,2013,Region.VI,22.941512
Feb,2013,Region.VI,19.775144
Mar,2013,Region.VI,70.774199
Apr,2013,Region.VI,3.13705
May,2013,Region.VI,11.507404
Jun,2013,Region.VI,147.324089
Jul,2013,Region.VI,7.44683
Aug,2013,Region.VI,28.878453
Sep,2013,Region.VI,45.369956
Oct,2013,Region.VI,25.975949
Nov,2013,Region.VI,26.342427
Dec,2013,Region.VI,115.850973
Jan,2014,Region.VI,2.394002
Feb,2014,Region.VI,7.109898
Mar,2014,Region.VI,89.270327
Apr,2014,Region.VI,4.932222
May,2014,Region.VI,18.012704
Jun,2014,Region.VI,21.502756
Jul,2014,Region.VI,16.772438
Aug,2014,Region.VI,26.218652
Sep,2014,Region.VI,70.017357
Oct,2014,Region.VI,1.730604
Nov,2014,Region.VI,7.268537
Dec,2014,Region.VI,27.386809
Jan,2015,Region.VI,3.406283
Feb,2015,Region.VI,14.292196
Mar,2015,Region.VI,13.000647
Apr,2015,Region.VI,10.261428
May,2015,Region.VI,22.722747
Jun,2015,Region.VI,28.144414
Jul,2015,Region.VI,1.816684
Aug,2015,Region.VI,2.937919
Sep,2015,Region.VI,9.693714
Oct,2015,Region.VI,2.824376
Nov,2015,Region.VI,13.085804
Dec,2015,Region.VI,6.613866
Jan,2016,Region.VI,7.852561
Feb,2016,Region.VI,17.591413
Mar,2016,Region.VI,14.908687
Apr,2016,Region.VI,1.229582
May,2016,Region.VI,3.199709
Jun,2016,Region.VI,4.876412
Jul,2016,Region.VI,2.109852
Aug,2016,Region.VI,11.178022
Sep,2016,Region.VI,4.792577
Oct,2016,Region.VI,4.093951
Nov,2016,Region.VI,11.16405
Dec,2016,Region.VI,8.411462
Jan,2008,Region.VII,16.333128
Feb,2008,Region.VII,7.002854
Mar,2008,Region.VII,16.559691
Apr,2008,Region.VII,13.099457
May,2008,Region.VII,12.357979
Jun,2008,Region.VII,43.438294
Jul,2008,Region.VII,13.38781
Aug,2008,Region.VII,15.838809
Sep,2008,Region.VII,35.632171
Oct,2008,Region.VII,9.906979
Nov,2008,Region.VII,5.56109
Dec,2008,Region.VII,13.51139
Jan,2009,Region.VII,11.431455
Feb,2009,Region.VII,12.627299
Mar,2009,Region.VII,32.8553
Apr,2009,Region.VII,8.431712
May,2009,Region.VII,10.418028
Jun,2009,Region.VII,24.666811
Jul,2009,Region.VII,4.864449
Aug,2009,Region.VII,5.249551
Sep,2009,Region.VII,9.830241
Oct,2009,Region.VII,9.262722
Nov,2009,Region.VII,14.309588
Dec,2009,Region.VII,27.828702
Jan,2010,Region.VII,5.344702
Feb,2010,Region.VII,8.575455
Mar,2010,Region.VII,27.162256
